participantId,formIndex,formName,autocomplete,time_from_form_ms,time_from_form,x,y,timestamp
unknown,5,form6_large_with,enabled,623,0.623s,1079,515,2026-04-13T19:54:03.769Z
unknown,5,form6_large_with,enabled,1025,1.025s,1204,516,2026-04-13T19:54:04.171Z
unknown,5,form6_large_with,enabled,1487,1.487s,1333,399,2026-04-13T19:54:04.633Z
unknown,5,form6_large_with,enabled,1904,1.904s,1081,514,2026-04-13T19:54:05.050Z
unknown,5,form6_large_with,enabled,2294,2.294s,1002,581,2026-04-13T19:54:05.440Z
unknown,5,form6_large_with,enabled,2703,2.703s,907,559,2026-04-13T19:54:05.849Z
unknown,5,form6_large_with,enabled,3070,3.070s,881,513,2026-04-13T19:54:06.216Z
unknown,5,form6_large_with,enabled,3481,3.481s,781,523,2026-04-13T19:54:06.627Z
unknown,5,form6_large_with,enabled,3880,3.880s,832,613,2026-04-13T19:54:07.026Z
unknown,5,form6_large_with,enabled,4274,4.274s,928,574,2026-04-13T19:54:07.420Z
unknown,5,form6_large_with,enabled,4662,4.662s,1239,552,2026-04-13T19:54:07.808Z
unknown,5,form6_large_with,enabled,5038,5.038s,1356,515,2026-04-13T19:54:08.184Z
unknown,5,form6_large_with,enabled,5436,5.436s,1355,540,2026-04-13T19:54:08.582Z
unknown,5,form6_large_with,enabled,5823,5.823s,1288,519,2026-04-13T19:54:08.969Z
unknown,5,form6_large_with,enabled,6210,6.210s,1261,465,2026-04-13T19:54:09.356Z
unknown,5,form6_large_with,enabled,6607,6.607s,1323,531,2026-04-13T19:54:09.753Z
unknown,5,form6_large_with,enabled,6998,6.998s,1068,531,2026-04-13T19:54:10.144Z
unknown,5,form6_large_with,enabled,7398,7.398s,1025,596,2026-04-13T19:54:10.544Z
unknown,5,form6_large_with,enabled,7800,7.800s,1062,659,2026-04-13T19:54:10.946Z
unknown,5,form6_large_with,enabled,8211,8.211s,1102,532,2026-04-13T19:54:11.357Z
unknown,5,form6_large_with,enabled,8619,8.619s,1209,541,2026-04-13T19:54:11.765Z
unknown,5,form6_large_with,enabled,9012,9.012s,1186,550,2026-04-13T19:54:12.158Z
unknown,5,form6_large_with,enabled,9406,9.406s,1131,597,2026-04-13T19:54:12.552Z
unknown,5,form6_large_with,enabled,9822,9.822s,1029,593,2026-04-13T19:54:12.968Z
unknown,5,form6_large_with,enabled,10208,10.208s,884,639,2026-04-13T19:54:13.354Z
unknown,5,form6_large_with,enabled,10613,10.613s,746,681,2026-04-13T19:54:13.759Z
unknown,5,form6_large_with,enabled,10996,10.996s,763,567,2026-04-13T19:54:14.142Z
unknown,5,form6_large_with,enabled,11392,11.392s,655,628,2026-04-13T19:54:14.538Z